"视频描述","视频ID","发布时间","完播率","平均播放时长","播放量","推荐","喜欢","评论量","分享量","关注量","转发聊天和朋友圈","设为铃声","设为状态","设为朋友圈封面","企微链接点击次数","企微链接点击人数","添加到通讯录次数","添加到通讯录人数"
"现采感很强，但还要看交付证据。#松茸 #滋元堂 #野生松茸 #新鲜松茸","export/UzFfBgAAxNGIEApaI3L2k8zT4DCagpT64EXDOy0q9gloZEZdUg","2026/08/29","24.15%","12.31秒",294,0,0,0,0,0,0,0,0,0,,,,
"高价可以接受，糊涂价不行。#松茸 #松茸价格 #野生松茸 #松茸知识大全","export/UzFfBgAAxPGCdGtZUl_2k8zT4DCakm5tOahsOL7KHvNEZJNrVg","2026/08/29","27.82%","12.33秒",266,0,0,0,0,0,0,0,0,0,,,,
"别拿两种需求硬比价格。#松茸 #松茸价格 #野生菌 #美食","export/UzFfBgAAxMqCXHUQFTT3k8zT4DCa2dKhjmbL7_7OYWSe9O6Q2Q","2026/08/29","28.82%","17.71秒",229,0,0,0,0,0,0,0,0,0,,,,
"少一道手，不一定少一道风险。#松茸 #野生松茸 #新鲜松茸 #菌菇","export/UzFfBgAAxPiCNFYkaVX3k8zT4DCawyZfqe-sC3SSvTkaniYp9w","2026/08/28","13.45%","9.45秒",238,0,1,0,0,0,0,0,0,0,,,,
"运输方式别只听名字。#松茸 #新鲜松茸 #野生菌 #松茸知识大全","export/UzFfBgAAxMuCcCNQeyP0k8zT4DCaAFHMHudNTGVIw-4UmO97Mw","2026/08/28","26.12%","11.76秒",291,2,1,0,0,0,0,0,0,0,,,,
"预售不怕等，怕信息模糊。#松茸 #滋元堂 #新鲜松茸 #松茸保存方法","export/UzFfBgAAxOWCKC5zMDv0k8zT4DCaAjGxNtU8HHFEMHgVAPweZw","2026/08/28","14.55%","9.20秒",212,0,0,0,0,1,0,0,0,0,,,,
"开伞不是原罪，混着卖才容易吵。#松茸 #松茸知识大全 #野生松茸 #松茸价格","export/UzFfBgAAxPqCNBsTCWf0k8zT4DCa2JR0O-3XYVvjFPbLuUH5aw","2026/08/28","33.53%","19.69秒",1177,0,0,0,0,0,0,0,0,0,,,,
"不是谁赢，是别把好松茸做干。#松茸 #松茸吃法大全 #松茸做法 #美食","export/UzFfBgAAxOGCWAM5Lz71k8zT4DCayEnIaOW4AEOiCucApWFClg","2026/08/27","17.27%","19.50秒",249,0,0,0,0,0,0,0,0,0,,,,
"尝鲜和过量，中间有一条线。#松茸 #松茸知识大全 #野生菌 #美食","export/UzFfBgAAxPGCSBxlEBP1k8zT4DCarU9CoClfnmZQEYqkG5_VrA","2026/08/27","31.00%","17.89秒",658,1,0,0,7,1,7,0,0,0,,,,
"等级不是答案，场景才是答案。#松茸 #松茸吃法大全 #松茸价格 #滋元堂","export/UzFfBgAAxOaCZG4DXG_1k8zT4DCaoSVhvqth7t6yIJUVCgDtdw","2026/08/27","19.12%","12.35秒",204,0,0,0,0,0,0,0,0,0,,,,
"舍不得吃，也可能把香气等没了。#松茸 #松茸保存方法 #新鲜松茸 #美食","export/UzFfBgAAxPCCPABmcXv1k8zT4DCa2mG3Q3ee_wD7Qb-UN04bUw","2026/08/27","16.81%","12.28秒",226,0,0,0,0,0,0,0,0,0,,,,
"一个抢时效，一个看实物，别急着站队。#松茸 #新鲜松茸 #野生松茸 #滋元堂","export/UzFfBgAAxOuCFDIpBnrqk8zT4DCaqAEH5pV9GTzPQqw63o-41w","2026/08/26","19.91%","10.61秒",226,0,0,0,0,0,0,0,0,0,,,,
"香淡不一定坏，酸闷才危险。#松茸 #新鲜松茸 #松茸知识大全 #野生菌","export/UzFfBgAAxM-CBHAJK0_rk8zT4DCaxSIyQH2PCqr8AZ9WifnlFQ","2026/08/25","18.36%","12.09秒",256,0,0,0,2,0,2,0,0,0,,,,
"好看和不浪费，经常不是同一派。#松茸 #松茸做法 #美食 #菌菇","export/UzFfBgAAxPCCcEw-CCTok8zT4DCa3C_EVVl4iMicSBLJoAf9uA","2026/08/25","26.15%","16.40秒",260,0,0,0,0,0,0,0,0,0,,,,
"贵有贵的理由，但不一定最适合你。#松茸 #松茸价格 #新鲜松茸 #滋元堂","export/UzFfBgAAxOSCEDRVfQfok8zT4DCajZz_Kz8i30xj2jPDR29ATg","2026/08/25","12.29%","8.78秒",236,0,0,0,0,0,0,0,0,0,,,,
"野生感和坏状态，不是一回事。#松茸 #野生松茸 #松茸知识大全 #野生菌","export/UzFfBgAAxOCCME1BYwvok8zT4DCaXWv0vOuVuvLqmFKrbvVA9g","2026/08/25","23.45%","16.73秒",388,0,0,0,0,0,0,0,0,0,,,,
"没味的锅，可能从到手那刻就输了。#松茸 #松茸知识大全 #新鲜松茸 #美食","export/UzFfBgAAxMqCKGs2RTPpk8zT4DCaPbrw1WgegS50EspOeJKaAw","2026/08/24","31.62%","14.49秒",1439,1,3,0,0,0,0,0,0,0,,,,
"会摆盘和会分拣，是两回事。#松茸 #松茸知识大全 #松茸价格 #野生松茸","export/UzFfBgAAxOSCOHFDFT3pk8zT4DCaKNdR9ovEH_vuSwn4MlJ3gA","2026/08/24","26.82%","13.28秒",1294,1,2,0,0,0,0,0,0,0,,,,
"别只分香不香，要分清不清、闷不闷。#松茸 #松茸知识大全 #野生松茸 #菌菇","export/UzFfBgAAxPGCCAJGcRXpk8zT4DCaOcbZrEaM7ER_K1JdeUZDZw","2026/08/24","25.44%","13.34秒",1077,0,1,0,0,0,0,0,0,0,,,,
"别只盯单斤价，采后处理会藏真实成本。#松茸 #松茸价格 #松茸保存方法 #松茸知识大全","export/UzFfBgAAxOaCTDp8Lm3pk8zT4DCaRiEAB2LgQcM3KJk9yqnzQg","2026/08/24","19.68%","12.55秒",869,0,1,0,0,0,0,0,0,0,,,,
"争做法之前，先判断这批松茸撑不撑得住。#松茸 #松茸吃法大全 #松茸知识大全 #新鲜","export/UzFfBgAAxJSCCAd9ZA3uk8zT4DCax0gxudr0rvEfNy_oQXSh3A","2026/08/23","22.03%","10.37秒",708,0,2,0,0,0,0,0,0,0,,,,
"野生鲜货不是模型，关键看状态坏没坏。#松茸 #松茸知识大全 #野生松茸 #野生菌","export/UzFfBgAAxOiCEG4EdRbuk8zT4DCajfQwx5nEJeq7MHoVkgJ4ZQ","2026/08/23","19.91%","9.59秒",642,0,0,0,0,0,0,0,0,0,,,,
"漂亮不一定更稳，鲜货要保留可验状态。#松茸 #新鲜松茸 #松茸知识大全 #松茸价格","export/UzFfBgAAxMyCWDxRfmHuk8zT4DCaAmBtp92Gk_SUB6J8daX8cg","2026/08/23","27.19%","11.70秒",960,0,0,0,1,0,1,0,0,0,,,,
"省事和保留线索，评论区肯定有两派。#松茸 #松茸知识大全 #野生松茸 #新鲜松茸","export/UzFfBgAAxPSCWA94BnLuk8zT4DCaCoFp00GqAW-WYnZCnCKKNA","2026/08/23","27.30%","11.51秒",1773,0,1,0,0,0,0,0,0,0,,,,
"这题最容易吵，关键看干泥还是湿泥。#松茸 #松茸知识大全 #野生松茸 #野生菌","export/UzFfBgAAxO6CcHgbHknuk8zT4DCaNTQW29iyO1I3Zt7BK6wXPQ","2026/08/23","26.30%","12.38秒",1403,2,0,0,1,1,1,0,0,0,,,,
"高客单鲜货，第一次买少一点反而更稳。#松茸 #松茸价格 #新鲜松茸 #松茸知识大全","export/UzFfBgAAxPSCNDVlenHvk8zT4DCaEweSBopoZBjRWNYrRK7EVg","2026/08/22","21.71%","9.68秒",737,0,0,0,0,1,0,0,0,0,,,,
"争的不是口号，是采后过程和到手状态。#松茸 #松茸知识大全 #新鲜松茸 #野生菌","export/UzFfBgAAxOSCKFh3P37vk8zT4DCa8xCcgrcPFb7Xl1sEK5kgMA","2026/08/22","32.05%","15.29秒",1997,2,2,0,0,0,0,0,0,0,,,,
"满盒好看，但鲜松茸最怕底层被闷。#松茸 #松茸知识大全 #野生松茸 #新鲜松茸","export/UzFfBgAAxMyCLCQoDVPvk8zT4DCa3sczKojTLhqMLMML7Nv2mg","2026/08/22","22.46%","11.19秒",1269,0,1,0,2,0,2,0,0,0,,,,
"省事和可验货，第一次买更该选清楚。#松茸 #松茸知识大全 #新鲜松茸 #松茸价格","export/UzFfBgAAxMOCKFMcai_sk8zT4DCafgL804WV1X2y39DxRChkRQ","2026/08/22","29.32%","12.72秒",972,0,0,0,1,1,1,0,0,0,,,,
"只看斤价，最容易忽略到家损耗。#松茸 #松茸价格 #菌菇 #野生松茸","export/UzFfBgAAxPSCcAZ3PCXtk8zT4DCaBP3PolpLytTL8jzvuYkpHg","2026/08/21","24.02%","11.17秒",969,1,3,0,0,0,0,0,0,0,,,,
"新手先降低决策风险，吃懂再加量。#松茸 #新鲜松茸 #松茸知识大全 #菌菇美食","export/UzFfBgAAxJOCODhcQA3tk8zT4DCaI927aHp0OsNTOrOBPyVStA","2026/08/21","29.97%","12.55秒",1198,0,1,0,2,0,2,0,0,0,,,,
"保存松茸没有唯一答案，看你多久吃。#松茸 #松茸吃法大全 #野生菌 #松茸知识大全","export/UzFfBgAAxJKCEDZrNTvik8zT4DCaKdgzZyg81g3DwPZm_Sp7Kg","2026/08/20","35.85%","16.70秒",21511,26,42,6,145,25,145,0,0,0,,,,
"开伞不等于坏，但用途和口感要分清。#松茸 #松茸知识大全 #菌菇 #野生菌","export/UzFfBgAAxOWCeAkxcQ_ik8zT4DCaBn3Ct51NL4Rnws2Sg9nF7w","2026/08/20","39.61%","15.85秒",4154,4,7,0,3,3,3,0,0,0,,,,
"扫码可+v,直接买高品质野生菌","export/UzFfBgAAxOmCHF5pShHik8zT4DCastOOnOpHrLvAE0lIzOEfXA","2026/08/20","-","2.82秒",11,0,0,0,0,0,0,0,0,0,,,,
"这题评论区最容易吵，但饭桌只认状态。#松茸 #野生松茸 #野生菌 #美食","export/UzFfBgAAxPaCSHZOPWvik8zT4DCanmGGnhIpI15kew0FX7X-_A","2026/08/20","30.60%","13.42秒",1477,1,0,0,0,0,0,0,0,0,,,,
"鲜松茸最值钱的，不只是菌，是路上的状态。#松茸 #新鲜松茸 #季节限定 #滋元堂 #美食","export/UzFfBgAAxMyCUAsHaWzjk8zT4DCaALydP_xzSNObEq7mCvsejw","2026/08/19","15.29%","9.84秒",752,1,2,0,1,1,1,0,0,0,,,,
"真正划算不是低价，是到家还能好吃。#松茸 #野生松茸 #野生菌 #美食 #滋元堂","export/UzFfBgAAxOCCAH8BKmrjk8zT4DCaRkiEcwM2kzRLQaCtDmhWgw","2026/08/19","26.91%","13.79秒",1204,0,1,0,1,0,1,0,0,0,,,,
"松茸高客单，买得明白比买得多更重要。#松茸 #新鲜松茸 #美食 #野生菌","export/UzFfBgAAxJSCOEF_P0_jk8zT4DCabfaIMfwuJaerIc1pwVFsHg","2026/08/19","23.85%","12.53秒",675,0,0,0,0,0,0,0,0,0,,,,
"买多不是体面，会吃完才是值。#松茸 #野生松茸 #野生菌 #当季美食","export/UzFfBgAAxO2COBYeXXvgk8zT4DCatU2mszXMO7EDTCrp2-WAHQ","2026/08/18","30.48%","12.94秒",3411,5,3,0,8,1,8,0,0,0,,,,
"高客单鲜货，透明比话术更让人安心。#松茸 #野生松茸 #野生菌 #菌菇美食","export/UzFfBgAAxPKCcD0UYEXgk8zT4DCazxxCoZfJheAW3Gw5U0K8Sw","2026/08/18","19.32%","10.99秒",734,0,0,0,0,0,0,0,0,0,,,,
"净重好看，不代表损耗少。#松茸 #野生松茸 #野生菌 #广东人爱吃 #美食","export/UzFfBgAAxPaCNBIlYkLgk8zT4DCa-lwrLkQ69hearOckyubpkQ","2026/08/18","29.78%","12.38秒",1538,0,0,0,0,0,0,0,0,0,,,,
"鲜货买早了，冰箱先替你吃香气。#松茸 #当季松茸 #野生菌 #滋元堂 #美食","export/UzFfBgAAxPCCXC8AOzbmk8zT4DCan7LakubUb80F2l0j6LO1wQ","2026/08/17","18.74%","11.31秒",779,0,0,0,2,0,2,0,0,0,,,,
