"视频描述","视频ID","发布时间","完播率","平均播放时长","播放量","推荐","喜欢","评论量","分享量","关注量","转发聊天和朋友圈","设为铃声","设为状态","设为朋友圈封面","企微链接点击次数","企微链接点击人数","添加到通讯录次数","添加到通讯录人数"
"松茸颜色深一点，不等于假，也不等于差。#松茸 #松茸知识大全 #野生松茸 #菌菇","export/UzFfBgAAxP6idFQickX2k8zT4DCaDanr19_Jl_dlPJXuxyvb-g","2026/08/29","18.72%","9.10秒",234,0,0,0,1,0,1,0,0,0,,,,
"松茸别整盒反复开关。#松茸 #松茸保存方法 #新鲜松茸 #滋元堂","export/UzFfBgAAxPmgEFwCfFb2k8zT4DCaJc7H0tdibi6sPIwxnuvFEA","2026/08/29","15.46%","7.78秒",194,0,0,0,0,0,0,0,0,0,,,,
"冷冻松茸煲汤前别乱解冻 #松茸 #松茸保存方法 #松茸做法 #美食","export/UzFfBgAAxOCgPDsECFH2k8zT4DCaHyAPLkVvPx1frnRJ6eW-iA","2026/08/29","37.22%","23.18秒",21415,48,69,3,365,23,365,0,0,0,,,,
"买松茸别只看伞，也别只看柄。#松茸 #松茸知识大全 #新鲜松茸 #滋元堂","export/UzFfBgAAxOKgOBslUl_2k8zT4DCapF2jpKTWqH2861UqsVKRug","2026/08/29","30.16%","11.62秒",431,2,2,0,0,0,0,0,0,0,,,,
"松茸到家别放阳台吹一下午。#松茸 #松茸保存方法 #新鲜松茸 #野生菌","export/UzFfBgAAxMegXGd3awb3k8zT4DCaNQk_536Um1zqlPJczUlt8A","2026/08/29","45.46%","18.30秒",3844,3,8,0,6,2,6,0,0,0,,,,
"松茸鸡汤选材有讲究 #松茸 #松茸做法 #松茸吃法大全 #美食","export/UzFfBgAAxMWgXG1cTFn3k8zT4DCao7M6MMBrNEwErONkO3_yzQ","2026/08/28","35.24%","17.58秒",700,1,2,0,2,0,2,0,0,0,,,,
"松茸冷链到家，不是越冰越好。#松茸 #野生松茸 #新鲜松茸 #滋元堂","export/UzFfBgAAxMOgKCkAYlj3k8zT4DCachwk7PuW9-W3z-XGvQ6dPQ","2026/08/28","22.22%","10.93秒",225,0,0,0,0,0,0,0,0,0,,,,
"清理松茸伞褶，别刷到像洗鞋。#松茸 #松茸知识大全 #野生菌 #菌菇","export/UzFfBgAAxMmgQA08MT_0k8zT4DCaXzQC3ClWhVTghZLD3I9uhQ","2026/08/28","28.13%","11.63秒",383,0,1,0,0,0,0,0,0,0,,,,
"松茸短存，别用湿纸一裹就完事。","export/UzFfBgAAxOCgNHIJAAj0k8zT4DCauTmcrWVruTskHD2cX1lrjQ","2026/08/28","37.30%","15.37秒",1024,0,0,0,4,1,4,0,0,0,,,,
"99%的人验松茸，第一下就捏错了。#松茸 #松茸知识大全 #野生菌 #新鲜松茸","export/UzFfBgAAxOegHFgVSBn0k8zT4DCaagEnRShoX8o0oNv0mgT8zg","2026/08/28","28.80%","14.73秒",309,0,0,0,0,0,0,0,0,0,,,,
