"视频描述","视频ID","发布时间","完播率","平均播放时长","播放量","推荐","喜欢","评论量","分享量","关注量","转发聊天和朋友圈","设为铃声","设为状态","设为朋友圈封面","企微链接点击次数","企微链接点击人数","添加到通讯录次数","添加到通讯录人数"
"松茸煲汤调味越简单越高级 #松茸 #松茸做法 #松茸吃法大全 #美食","export/UzFfBgAAxNqpTHVreHL2k8zT4DCaLdT8nwPNhUlmoimYorYEpw","2026/08/29","33.54%","20.15秒",1622,1,4,0,13,1,13,0,0,0,,,,
"黄油煎松茸才够香 #松茸 #松茸做法 #松茸吃法大全 #美食","export/UzFfBgAAxNanCD1KTyT3k8zT4DCasIWtvfasMC_lQFLZVE8Syw","2026/08/29","29.11%","20.69秒",3513,9,11,0,58,10,58,0,0,0,,,,
"开伞松茸煲汤撕条更合适 #松茸 #松茸做法 #松茸吃法大全 #美食","export/UzFfBgAAxPSnLBIzfSX0k8zT4DCaQs_UCtouoxa4ErNe1we16w","2026/08/28","30.11%","15.98秒",1686,1,2,0,5,2,5,0,0,0,,,,
"松茸成熟不是坏事，但吃法和价值要重新判断。#松茸 #买菜技巧 #野生菌 #山珍","export/UzFfBgAAxKGgXD4aemaVjMzT4DCasWLXoolzohUB4jKTH31-ZA","2026/08/02","27.56%","13.83秒",606,0,1,0,0,0,0,0,0,0,,,,
"松茸到手别只看大，看它有没有精神。#松茸 #挑选松茸 #野生菌 #开箱验货","export/UzFfBgAAxK6gQExBFlKKjMzT4DCaBqbEVLxkFUCFYg2gYAsvYg","2026/08/01","32.79%","16.84秒",1485,1,2,0,1,1,1,0,0,0,,,,
"松茸最怕不是小，是闻起来不对。#松茸 #挑选松茸 #野生菌 #山珍","export/UzFfBgAAxMinFEwINFuLjMzT4DCaXMdg9eO-xhOID7DV-pyPXg","2026/07/31","28.84%","16.44秒",1098,4,1,0,0,1,0,0,0,0,,,,
"开箱别只看表面，底下那层最会说话。#松茸 #开箱验货 #野生菌 #买菜技巧","export/UzFfBgAAxNOnWBRREjuIjMzT4DCa5xETsVDSUfJZYf8jNSWZ9w","2026/07/31","22.57%","12.46秒",514,0,0,0,0,0,0,0,0,0,,,,
"外形漂亮只是第一眼，香气才是第二关。#松茸 #挑选松茸 #野生菌 #买菜技巧","export/UzFfBgAAxKugaFlwYweJjMzT4DCagIbAfLDO3khz7QZ29JWe-Q","2026/07/30","19.26%","12.25秒",571,1,1,0,0,0,0,0,0,0,,,,
"鲜松茸不是放着等你，离土后状态一直在走。#松茸 #野生菌 #保鲜 #山珍","export/UzFfBgAAxKKgOHh6HQKJjMzT4DCaykvMzi0oWb0L3T-trY5thA","2026/07/30","27.97%","15.01秒",1373,1,0,0,2,0,2,0,0,0,,,,
"不是不能吃，是别按嫩货吃。#松茸规格 #松茸 #野生菌","export/UzFfBgAAxPenDE51URuOjMzT4DCaSxO4MP_j6ujS5r_k6GDa9g","2026/07/29","21.44%","10.56秒",737,0,0,0,1,0,1,0,0,0,,,,
"真状态，细节会说话。#松茸 #网购山货 #买菜避坑","export/UzFfBgAAxNOnZAMbFmyOjMzT4DCar8DCMP901zvrMWjrXSt1zw","2026/07/29","21.10%","8.46秒",654,0,0,0,0,0,0,0,0,0,,,,
