"视频描述","视频ID","发布时间","完播率","平均播放时长","播放量","推荐","喜欢","评论量","分享量","关注量","转发聊天和朋友圈","设为铃声","设为状态","设为朋友圈封面","企微链接点击次数","企微链接点击人数","添加到通讯录次数","添加到通讯录人数"
"小不等于差，也不等于一定值。#松茸 #松茸价格 #滋元堂 #新鲜松茸","export/UzFfBgAAxNKjBB5HPVD2k8zT4DCam2w7pvbbKJZHdOYk8E7XxA","2026/08/29","20.28%","10.62秒",143,0,0,0,1,0,1,0,0,0,,,,
"松茸煲汤前快洗少洗不削皮 #松茸 #松茸做法 #松茸吃法大全 #美食","export/UzFfBgAAxNGjEHkjBl_2k8zT4DCaq0Wdu4YljfDW4gcSpOqF_g","2026/08/29","22.40%","12.79秒",125,2,1,0,2,1,2,0,0,0,,,,
"松茸出锅前10分钟下才锁香 #松茸 #松茸做法 #松茸吃法大全 #美食","export/UzFfBgAAxMyjdABBGFj3k8zT4DCaKwT0OKNQu_24C7lG-SIpPA","2026/08/28","30.78%","18.10秒",1829,6,8,0,26,0,26,0,0,0,,,,
"修根到底该到什么程度。#松茸 #松茸知识大全 #野生松茸 #菌菇","export/UzFfBgAAxNmjdAkWTyb0k8zT4DCaiyriIXO0Qdma5fG5putO4g","2026/08/28","24.58%","9.78秒",179,0,0,0,0,0,0,0,0,0,,,,
"闻香也有误区，浓不等于稳。#松茸 #松茸知识大全 #新鲜松茸 #菌菇","export/UzFfBgAAxPyjfFEnWQn0k8zT4DCaLGEQBVsdcFELB3xBgdHhPg","2026/08/28","23.48%","23.67秒",230,0,1,0,1,0,1,0,0,0,,,,
"处理松茸根部，别削到发白才安心。#松茸 #松茸知识大全 #野生菌 #松茸做法","export/UzFfBgAAxMWjQE9dGxr1k8zT4DCaf1KHAQOe6vtGC72TIhiRQg","2026/08/27","21.21%","10.33秒",230,0,0,0,0,0,0,0,0,0,,,,
"松茸沾泥，千万别用热水冲。#松茸 #松茸知识大全 #菌菇 #松茸保存方法","export/UzFfBgAAxNajHGFsF2rqk8zT4DCabO-l3zJbzih7k1hC54Wlbg","2026/08/26","27.91%","13.35秒",301,1,1,0,0,0,0,0,0,0,,,,
"好松茸不是只赢刚出锅那一秒。#松茸 #美食 #野生菌 #菌菇","export/UzFfBgAAxP6jQAVRWl3qk8zT4DCaHjIhtl5v-yLePAfQPwTr_Q","2026/08/26","13.11%","8.17秒",205,0,0,0,0,0,0,0,0,0,,,,
"好松茸不是重口味，是越嚼越干净。#松茸 #美食 #野生松茸 #菌菇","export/UzFfBgAAxMKjXG9fQjTrk8zT4DCatzohiI18IUvkPABFoxtTag","2026/08/26","20.87%","10.46秒",206,0,0,0,0,0,0,0,0,0,,,,
"好松茸一上桌，自己会制造记忆点。#松茸 #美食 #新鲜松茸 #菌菇","export/UzFfBgAAxPWjbGQuOkPrk8zT4DCai-ucxUILS5g9AIyFd4jMRw","2026/08/25","8.15%","7.29秒",233,0,0,0,0,0,0,0,0,0,,,,
"看着素，入口才知道清鲜有多狠。#松茸 #松茸吃法大全 #美食 #野生松茸","export/UzFfBgAAxNqjbDIdHVPrk8zT4DCaTCO5lA5oXNhBOzVNnZspgQ","2026/08/25","23.58%","10.44秒",229,0,1,0,0,0,0,0,0,0,,,,
"火候刚刚到，松茸的香才站得住。#松茸 #松茸做法 #美食 #野生菌","export/UzFfBgAAxPKjIBEyaD_ok8zT4DCajJ-MJxcgpCa6m_rMvAYEFg","2026/08/25","15.50%","8.62秒",200,0,0,0,1,0,1,0,0,0,,,,
"鲜货值不值，入口状态会替你回答。#松茸 #新鲜松茸 #美食 #松茸价格","export/UzFfBgAAxPujHDp-SQnok8zT4DCagJJbrY0QXF-yCe4EeLa4dg","2026/08/25","12.80%","7.23秒",164,0,0,0,0,0,0,0,0,0,,,,
"纹理和入口状态，比堆满一盘更诱人。#松茸 #美食 #野生松茸 #菌菇","export/UzFfBgAAxMujcFgbcxjok8zT4DCafJkL9iuSkrQ1RhZ9sK37GA","2026/08/25","23.86%","10.71秒",197,0,0,0,1,0,1,0,0,0,,,,
"松茸最后值不值，要交给嘴巴判断。#松茸 #新鲜松茸 #美食 #松茸价格","export/UzFfBgAAxPOjIAR_ISTpk8zT4DCa4XIYe1xbnkp0Dqxu-3LgOA","2026/08/24","18.24%","9.08秒",466,0,0,0,0,0,0,0,0,0,,,,
"觉得松茸淡，可能还没吃到对的那口。#松茸 #野生松茸 #美食 #菌菇","export/UzFfBgAAxNKjfBlTZSrpk8zT4DCav0sR1Rh0tViVIh3n5h8SRA","2026/08/24","15.75%","7.77秒",380,0,0,0,0,0,0,0,0,0,,,,
"鲜松茸贵不贵，入口状态会说话。#松茸 #松茸价格 #新鲜松茸 #美食","export/UzFfBgAAxNmjDHIyWQPpk8zT4DCarRnAGJWiFuaRc5wkgkRc8A","2026/08/24","16.63%","8.58秒",421,0,0,0,0,0,0,0,0,0,,,,
"好松茸不怕清淡，怕的是入口没支撑。#松茸 #松茸吃法大全 #野生松茸 #美食","export/UzFfBgAAxNKjREdjShzpk8zT4DCapCGrdG7fINqg_acQEm-dlA","2026/08/24","7.62%","6.06秒",302,0,0,0,1,0,1,0,0,0,,,,
"真正有后劲的食材，不靠大声抢味。#松茸 #美食 #野生菌 #菌菇","export/UzFfBgAAxPajEG94IGPpk8zT4DCa1kmJVLWHyENm-X3gGdvA9Q","2026/08/24","13.33%","7.79秒",180,0,0,0,0,0,0,0,0,0,,,,
"松茸的厉害，常常在吞下去之后才出现。#松茸 #松茸美食 #当季山珍 #野生菌","export/UzFfBgAAxM6jXEUqXQDuk8zT4DCaqNAFOu5X9SGgWl5SEndM5A","2026/08/23","20.94%","9.46秒",450,1,2,1,0,0,0,0,0,0,,,,
"松茸值不值，别听介绍，听饭桌反应。#松茸 #新鲜松茸 #松茸吃法 #美食","export/UzFfBgAAxPKjJDAGQAvuk8zT4DCa0A1R_IHiiDolXwtngC951g","2026/08/23","22.39%","9.20秒",603,0,0,0,0,0,0,0,0,0,,,,
"好松茸不是一口吵赢，是后味让人回头。#松茸 #野生松茸 #菌菇美食 #松茸吃法","export/UzFfBgAAxNCjLHAuM2buk8zT4DCaqJKtEkCM32A-mHwxASGJkw","2026/08/23","24.66%","16.93秒",442,0,0,0,0,1,0,0,0,0,,,,
"一盘松茸好不好，筷子会给答案。#松茸 #家庭餐桌 #当季松茸 #美食种草","export/UzFfBgAAxPCjMCZfP3juk8zT4DCa1CP0qb1Fc0ci8Gwj4zIJpg","2026/08/23","21.11%","9.52秒",431,0,1,0,0,0,0,0,0,0,,,,
"松茸的香，不是冲鼻子，是慢慢把人勾住。#松茸 #松茸美食 #野生菌 #山珍鲜味","export/UzFfBgAAxN2jRAosMVzuk8zT4DCavhhhms8kdtve7hZaJaCVtg","2026/08/23","11.39%","11.83秒",237,1,0,0,0,0,0,0,0,0,,,,
"买松茸买的是到家状态，不是只买一个名字。#松茸 #野生松茸 #野生菌 #松茸美食","export/UzFfBgAAxMWjID9IJXPvk8zT4DCacmbfkwXwVdBiaM12W6kB8g","2026/08/22","18.33%","9.02秒",419,0,1,0,0,0,0,0,0,0,,,,
"懂吃的人，会盯住松茸留下来的那点鲜。#松茸 #新鲜松茸 #野生菌 #美食","export/UzFfBgAAxNejOH8QPHnvk8zT4DCaMD8j3clghsn_iSUuiq8Tjw","2026/08/22","17.81%","8.71秒",438,0,0,0,0,0,0,0,0,0,,,,
"松茸不是只闻香，入口那下更抓人。#松茸 #松茸吃法 #菌菇美食 #菌菇美食","export/UzFfBgAAxOSjfCIETUnvk8zT4DCaBwVD6zSjYK9BmCqcRwsaFw","2026/08/22","15.95%","9.43秒",439,0,1,0,0,0,0,0,0,0,,,,
