"视频描述","视频ID","发布时间","完播率","平均播放时长","播放量","推荐","喜欢","评论量","分享量","关注量","转发聊天和朋友圈","设为铃声","设为状态","设为朋友圈封面","企微链接点击次数","企微链接点击人数","添加到通讯录次数","添加到通讯录人数"
"形状不是重点，里面才是重点。#松茸 #松茸知识大全 #菌菇 #新鲜松茸","export/UzFfBgAAxNegcGJ1Km_2k8zT4DCaWpd0xpJ6z7ww_aUlTkDlEw","2026/08/29","37.79%","18.53秒",823,0,0,0,0,0,0,0,0,0,,,,
"开箱细节，比宣传词更诚实。#松茸 #新鲜松茸 #滋元堂 #松茸保存方法","export/UzFfBgAAxNGgdHFyJ332k8zT4DCaoktAHMxvOEmpOCfqVx13Eg","2026/08/29","13.48%","7.92秒",281,0,1,0,1,0,1,0,0,0,,,,
"别把泥土当成唯一证明。#松茸 #松茸知识大全 #野生菌 #野生松茸","export/UzFfBgAAxKigWFMOcEn2k8zT4DCaUjHGYHCvuqaGVF729AIcpg","2026/08/29","25.68%","16.99秒",292,2,0,0,0,0,0,0,0,0,,,,
"开伞松茸煲汤撕条更合适 #松茸 #松茸做法 #松茸吃法大全 #美食","export/UzFfBgAAxMOnZDIjNVb2k8zT4DCa20c9uHKtEVkN1DOTbKZGzg","2026/08/29","39.16%","21.67秒",7883,21,30,0,59,8,59,0,0,0,,,,
"好包装不该只好看一层。#松茸 #滋元堂 #野生松茸 #新鲜松茸","export/UzFfBgAAxNSnSF5GFDT3k8zT4DCaT5L3cN-Sna7tH2-d7Ypy7A","2026/08/29","21.70%","12.36秒",235,0,0,0,0,0,0,0,0,0,,,,
"整齐好看，不一定代表等级清楚。#松茸 #松茸价格 #野生菌 #松茸知识大全","export/UzFfBgAAxNOnbCN5GlT3k8zT4DCauIgtm45xpAZk61JcQEfAUg","2026/08/28","19.08%","10.95秒",283,0,0,0,1,0,1,0,0,0,,,,
"运输不是从快递揽收才开始。#松茸 #新鲜松茸 #滋元堂 #松茸保存方法","export/UzFfBgAAxMGnRFMWDC_0k8zT4DCaYgBnP0xu-jOi8T-MZhgCaQ","2026/08/28","24.71%","19.05秒",263,0,0,0,2,0,2,0,0,0,,,,
"根脚藏着很多到货信息。#松茸 #松茸知识大全 #新鲜松茸 #菌菇","export/UzFfBgAAxKugPEJlITv0k8zT4DCaHFIiVpLOyi-yeBQdDN34BA","2026/08/28","30.06%","15.03秒",539,0,1,0,0,0,0,0,0,0,,,,
"差价背后通常藏着分拣标准。#松茸 #松茸价格 #滋元堂 #野生菌","export/UzFfBgAAxMynHCknWGL0k8zT4DCaM8pmsqEVY_250NfgHWsinQ","2026/08/28","26.38%","14.26秒",307,0,0,0,2,0,2,0,0,0,,,,
"漂亮镜头不等于新鲜状态。#松茸 #松茸知识大全 #野生松茸 #新鲜松茸","export/UzFfBgAAxNKnBDkQTjn1k8zT4DCaUl8IZMLTIKE56qmfKFNwmQ","2026/08/27","25.18%","18.92秒",417,0,1,0,2,0,2,0,0,0,,,,
"开一点不可怕，怕的是整朵松掉。#松茸 #松茸知识大全 #野生菌 #菌菇","export/UzFfBgAAxMenDCsLSWz1k8zT4DCaTlbvbj4cpLbYtwvrUwXfIw","2026/08/27","28.07%","14.38秒",431,0,1,0,0,1,0,0,0,0,,,,
"产地是起点，不是最终答案。#松茸 #野生松茸 #松茸知识大全 #新鲜松茸","export/UzFfBgAAxM-nRFEnaUn1k8zT4DCa2h2nrmyt44nA5dMvbCH94w","2026/08/27","19.34%","10.60秒",243,0,0,0,1,0,1,0,0,0,,,,
"松茸买得值不值，问题要问到点上。#松茸 #松茸价格 #新鲜松茸 #滋元堂","export/UzFfBgAAxKugOHM7UGTqk8zT4DCaivG8vX20mPIsPgjQS_gLfw","2026/08/26","19.57%","9.79秒",281,0,0,0,1,1,1,0,0,0,,,,
"买鲜货，最怕拿旧图判断新状态。#松茸 #新鲜松茸 #滋元堂 #松茸知识大全","export/UzFfBgAAxM-nUE9AE2vqk8zT4DCaZ-wWlWGZl2IKRRAdHCBjHg","2026/08/26","11.93%","10.03秒",243,0,0,0,2,0,2,0,0,0,,,,
"泥也会骗人，干湿状态才关键。#松茸 #野生松茸 #松茸知识大全 #菌菇","export/UzFfBgAAxMunaBA0RETqk8zT4DCaBp8d5w76Q2g53Lql5PoawQ","2026/08/26","16.19%","10.51秒",210,0,0,0,2,0,2,0,0,0,,,,
